Intervals,Swim Stroke,Lengths,Distance,Time,Cumulative Time,Avg Pace,Best Pace,Avg. Swolf,Avg HR,Max HR,Total Strokes,Avg Strokes,Calories
1.1,Freestyle,1,50,0:44,0:44,1:28,1:28,68,--,--,24,--,12
1.2,Freestyle,1,50,00:47.8,01:31.8,1:36,1:36,74,--,--,26,--,12
1.3,Freestyle,1,50,00:51.5,02:23.3,1:43,1:43,80,--,--,28,--,12
1.4,Freestyle,1,50,00:50.9,03:14.2,1:42,1:42,78,--,--,27,--,12
1.5,Freestyle,1,50,00:53.5,04:07.7,1:47,1:47,83,--,--,29,--,12
1.6,Freestyle,1,50,00:51.1,04:58.8,1:42,1:42,79,--,--,28,--,12
1.7,Freestyle,1,50,00:55.1,05:53.9,1:50,1:50,85,--,--,30,--,12
1.8,Freestyle,1,50,0:55,06:48.9,1:50,1:50,85,--,--,30,--,12
1.9,Freestyle,1,50,0:56,07:44.9,1:52,1:52,87,--,--,31,--,12
1.1,Freestyle,1,50,00:55.9,08:40.8,1:52,1:52,87,--,--,31,--,12
1.11,Freestyle,1,50,00:55.3,09:36.1,1:50,1:50,86,--,--,31,--,12
1.12,Freestyle,1,50,0:55,10:31,1:50,1:50,86,--,--,31,--,12
1.13,Freestyle,1,50,00:56.7,11:28,1:53,1:53,88,--,--,31,--,12
1.14,Freestyle,1,50,00:56.4,12:24,1:53,1:53,87,--,--,31,--,12
1.15,Freestyle,1,50,00:55.4,13:20,1:51,1:51,86,--,--,31,--,12
1.16,Freestyle,1,50,01:11.1,14:31,2:22,2:22,102,--,--,31,--,12
